image_path,boat_id,length_m,heading
160000000_S2C_MSIL1C_20251220T023131_N0511_R046_T51RVM_20251220T034539.SAFE_343.png,160000000,183.0,33
160000000_S2C_MSIL1C_20251209T030131_N0511_R032_T49QED_20251209T041438.SAFE_215.png,160000000,161.0,12
160000000_S2C_MSIL1C_20260205T021901_N0512_R003_T51RWL_20260205T040932.SAFE_175.png,160000000,293.0,21
160000000_S2B_MSIL1C_20251224T030029_N0511_R032_T49QFD_20251224T044412.SAFE_364.png,160000000,162.0,-41
160000000_S2C_MSIL1C_20260108T030121_N0511_R032_T49QED_20260108T041552.SAFE_228.png,160000000,209.0,122
205027000_S2C_MSIL1C_20260110T021211_N0511_R060_T50KPD_20260110T044936.SAFE_21.png,205027000,298.0,176
205027000_S2C_MSIL1C_20260228T022641_N0512_R046_T50QQD_20260228T041923.SAFE_19.png,205027000,301.0,0
205027000_S2B_MSIL1C_20251206T021209_N0511_R060_T50KNF_20251206T034218.SAFE_1.png,205027000,308.0,-20
205102000_S2B_MSIL1C_20260123T025919_N0511_R032_T50SPJ_20260123T044536.SAFE_206.png,205102000,299.0,-45
205102000_S2C_MSIL1C_20260228T022641_N0512_R046_T50QQD_20260228T041923.SAFE_14.png,205102000,305.0,13
205102000_S2C_MSIL1C_20260219T021211_N0512_R060_T50KPE_20260219T052921.SAFE_1.png,205102000,296.0,-8
205386000_S2A_MSIL1C_20260110T112131_N0511_R037_T28PES_20260110T145735.SAFE_131.png,205386000,304.0,159
205386000_S2C_MSIL1C_20260118T112411_N0511_R037_T28PES_20260118T131322.SAFE_75.png,205386000,244.0,181
205386000_S2C_MSIL1C_20260108T112451_N0511_R037_T28PES_20260108T131134.SAFE_108.png,205386000,272.0,223
205401000_S2B_MSIL1C_20260131T021829_N0511_R003_T50NQL_20260131T050452.SAFE_46.png,205401000,294.0,182
205401000_S2C_MSIL1C_20260216T020311_N0512_R017_T52NCL_20260216T043954.SAFE_2.png,205401000,302.0,-2
205401000_S2C_MSIL1C_20260222T020711_N0512_R103_T52RCU_20260222T035843.SAFE_42.png,205401000,252.0,5
205401000_S2C_MSIL1C_20260112T024101_N0511_R089_T51RTK_20260112T035445.SAFE_354.png,205401000,296.0,-78
205426000_S2C_MSIL1C_20260107T134711_N0511_R024_T21HUT_20260107T152803.SAFE_1.png,205426000,218.0,-7
205426000_S2C_MSIL1C_20260101T133151_N0511_R081_T21HYB_20260101T145906.SAFE_3.png,205426000,226.0,71
205426000_S2B_MSIL1C_20260109T133829_N0511_R124_T21HUT_20260109T194901.SAFE_3.png,205426000,228.0,-68
205493000_S2B_MSIL1C_20251215T023019_N0511_R046_T51RVP_20251215T033823.SAFE_1625.png,205493000,323.0,125
205493000_S2C_MSIL1C_20260201T023931_N0511_R089_T51SWB_20260201T035421.SAFE_91.png,205493000,304.0,139
205493000_S2B_MSIL1C_20251215T023019_N0511_R046_T51RVP_20251215T033823.SAFE_1583.png,205493000,304.0,-41
205559000_S2B_MSIL1C_20251228T130249_N0511_R095_T23KNQ_20251228T161352.SAFE_539.png,205559000,263.0,163
205559000_S2C_MSIL1C_20251206T144741_N0511_R139_T18HXE_20251206T162820.SAFE_43.png,205559000,256.0,250
205559000_S2C_MSIL1C_20260306T144731_N0512_R139_T18GUR_20260306T180739.SAFE_1.png,205559000,279.0,179
205559000_S2C_MSIL1C_20260306T144731_N0512_R139_T18GUR_20260306T180739.SAFE_0.png,205559000,242.0,177
205559000_S2C_MSIL1C_20251206T144741_N0511_R139_T18HXE_20251206T162820.SAFE_10.png,205559000,276.0,256
205725000_S2C_MSIL1C_20260302T062801_N0512_R077_T40QHM_20260302T083507.SAFE_9.png,205725000,183.0,220
205725000_S2B_MSIL1C_20251217T063159_N0511_R077_T40QHM_20251217T072000.SAFE_7.png,205725000,176.0,96
205725000_S2C_MSIL1C_20260216T064951_N0512_R020_T40RCP_20260216T101119.SAFE_79.png,205725000,193.0,258
205725000_S2B_MSIL1C_20260126T063039_N0511_R077_T41QKG_20260126T100404.SAFE_3.png,205725000,192.0,104
205725000_S2B_MSIL1C_20260308T055629_N0512_R091_T41QRE_20260308T092213.SAFE_1.png,205725000,181.0,12
205725000_S2B_MSIL1C_20260112T065139_N0511_R020_T40RDN_20260112T085242.SAFE_225.png,205725000,175.0,116
205755000_S2C_MSIL1C_20260228T155211_N0512_R054_T18SVF_20260228T191425.SAFE_30.png,205755000,217.0,184
205755000_S2B_MSIL1C_20251215T155559_N0511_R054_T18SVF_20251215T192218.SAFE_15.png,205755000,220.0,10
205755000_S2C_MSIL1C_20260119T155601_N0511_R054_T18SVF_20260119T174703.SAFE_8.png,205755000,229.0,206
205790000_S2B_MSIL1C_20260219T131239_N0512_R138_T22JGP_20260219T162247.SAFE_22.png,205790000,196.0,37
205790000_S2C_MSIL1C_20251204T154601_N0511_R111_T17PPK_20251204T172834.SAFE_30.png,205790000,199.0,-26
205790000_S2C_MSIL1C_20260227T132231_N0512_R038_T22HDK_20260227T145643.SAFE_27.png,205790000,203.0,134
205790000_S2C_MSIL1C_20251226T144741_N0511_R139_T19KCQ_20251226T162752.SAFE_24.png,205790000,202.0,198
205790000_S2B_MSIL1C_20251221T144729_N0511_R139_T19KBR_20251221T194246.SAFE_2.png,205790000,198.0,69
205790000_S2B_MSIL1C_20251210T151719_N0511_R125_T18LTJ_20251210T183840.SAFE_0.png,205790000,199.0,146
205790000_S2C_MSIL1C_20260105T144741_N0511_R139_T19KCR_20260105T162909.SAFE_7.png,205790000,202.0,159
209017000_S2B_MSIL1C_20260206T130239_N0512_R095_T23JNM_20260206T175306.SAFE_7.png,209017000,190.0,37
209017000_S2A_MSIL1C_20251208T161701_N0511_R140_T16QEL_20251208T180532.SAFE_1.png,209017000,180.0,-22
209017000_S2C_MSIL1C_20260217T145731_N0512_R039_T19PHP_20260217T152844.SAFE_2.png,209017000,182.0,246
209017000_S2B_MSIL1C_20260109T151719_N0511_R125_T19PDQ_20260109T201405.SAFE_1.png,209017000,185.0,97
209034000_S2C_MSIL1C_20251214T053241_N0511_R105_T43PCT_20251214T071943.SAFE_114.png,209034000,230.0,131
209034000_S2C_MSIL1C_20260128T132231_N0511_R038_T22JGS_20260128T135119.SAFE_85.png,209034000,232.0,-27
209034000_S2A_MSIL1C_20251216T053251_N0511_R105_T43PCT_20251216T074753.SAFE_161.png,209034000,232.0,118
209111000_S2C_MSIL1C_20260126T021951_N0511_R003_T50NQL_20260126T041322.SAFE_37.png,209111000,229.0,179
209111000_S2B_MSIL1C_20260104T023009_N0511_R046_T50PQB_20260104T040838.SAFE_24.png,209111000,303.0,-9
209111000_S2C_MSIL1C_20251210T023121_N0511_R046_T51SWS_20251210T035857.SAFE_275.png,209111000,321.0,190
209111000_S2C_MSIL1C_20260311T021211_N0512_R060_T50KPD_20260311T052917.SAFE_12.png,209111000,301.0,-40
209111000_S2B_MSIL1C_20260210T021729_N0512_R003_T50MPA_20260210T054523.SAFE_4.png,209111000,298.0,30
209115000_S2B_MSIL1C_20251207T113359_N0511_R080_T29SKS_20251207T120215.SAFE_2.png,209115000,198.0,216
209115000_S2C_MSIL1C_20251215T115231_N0511_R123_T28RDS_20251215T121534.SAFE_27.png,209115000,183.0,111
209115000_S2C_MSIL1C_20251206T111451_N0511_R137_T29SPA_20251206T130502.SAFE_18.png,209115000,182.0,30
209139000_S2C_MSIL1C_20260207T112231_N0512_R037_T29UQQ_20260207T131803.SAFE_9.png,209139000,151.0,213
209139000_S2B_MSIL1C_20251227T113409_N0511_R080_T28RDR_20251227T134015.SAFE_10.png,209139000,150.0,21
209139000_S2B_MSIL1C_20260215T113309_N0512_R080_T27PYR_20260215T164345.SAFE_3.png,209139000,152.0,177
209228000_S2C_MSIL1C_20260104T164711_N0511_R126_T15PTT_20260104T183727.SAFE_5.png,209228000,229.0,16
