image_path,boat_id,length_m,heading
160000000_S2C_MSIL1C_20251209T030131_N0511_R032_T49QFE_20251209T041438.SAFE_274.png,160000000,222.0,-61
160000000_S2C_MSIL1C_20251220T023131_N0511_R046_T51RVQ_20251220T034539.SAFE_597.png,160000000,168.0,15
160000000_S2B_MSIL1C_20251209T020959_N0511_R103_T52RBU_20251209T032227.SAFE_42.png,160000000,253.0,193
160000000_S2C_MSIL1C_20260204T024921_N0511_R132_T50QNL_20260204T044515.SAFE_203.png,160000000,218.0,212
205027000_S2B_MSIL1C_20251215T023019_N0511_R046_T50QQD_20251215T040836.SAFE_21.png,205027000,307.0,13
205027000_S2C_MSIL1C_20251217T022121_N0511_R003_T51RVH_20251217T033414.SAFE_15.png,205027000,303.0,19
205027000_S2B_MSIL1C_20251221T025029_N0511_R132_T51STC_20251221T042849.SAFE_187.png,205027000,305.0,-89
205027000_S2C_MSIL1C_20260309T025531_N0512_R032_T50SPJ_20260309T044803.SAFE_179.png,205027000,303.0,-88
205102000_S2B_MSIL1C_20251202T021949_N0511_R003_T51RWM_20251202T033210.SAFE_98.png,205102000,303.0,-24
205102000_S2B_MSIL1C_20260302T021529_N0512_R003_T51RVJ_20260302T040834.SAFE_18.png,205102000,305.0,20
205102000_S2C_MSIL1C_20260115T025051_N0511_R132_T50SPJ_20260115T040543.SAFE_193.png,205102000,301.0,262
205386000_S2A_MSIL1C_20251208T025151_N0511_R132_T50QKK_20251208T053721.SAFE_469.png,205386000,298.0,94
205386000_S2A_MSIL1C_20251211T030151_N0511_R032_T49NDH_20251211T053130.SAFE_5.png,205386000,292.0,199
205386000_S2B_MSIL1C_20260301T024529_N0512_R132_T49PGP_20260301T061438.SAFE_10.png,205386000,299.0,50
205401000_S2B_MSIL1C_20251210T082239_N0511_R121_T33HYB_20251210T115446.SAFE_18.png,205401000,296.0,111
205401000_S2C_MSIL1C_20260311T015651_N0512_R060_T52RFV_20260311T035327.SAFE_80.png,205401000,291.0,113
205401000_S2C_MSIL1C_20260222T020711_N0512_R103_T52RCU_20260222T035843.SAFE_145.png,205401000,299.0,3
205401000_S2C_MSIL1C_20260129T022941_N0511_R046_T50PQA_20260129T041606.SAFE_9.png,205401000,306.0,169
205426000_S2B_MSIL1C_20260222T025629_N0512_R032_T50QKK_20260222T062643.SAFE_56.png,205426000,194.0,-23
205426000_S2B_MSIL1C_20260118T110029_N0511_R108_T28HDE_20260118T154449.SAFE_1.png,205426000,224.0,90
205493000_S2A_MSIL1C_20251212T023141_N0511_R046_T50QRF_20251212T050309.SAFE_15.png,205493000,301.0,11
205493000_S2A_MSIL1C_20260226T081001_N0512_R092_T35HQC_20260226T094016.SAFE_3.png,205493000,304.0,251
205493000_S2B_MSIL1C_20260226T073759_N0512_R092_T35HQC_20260226T111448.SAFE_4.png,205493000,305.0,251
205493000_S2C_MSIL1C_20260227T075901_N0512_R035_T34HGG_20260227T100933.SAFE_19.png,205493000,308.0,264
205559000_S2C_MSIL1C_20251203T143751_N0511_R096_T18HXE_20251203T161909.SAFE_101.png,205559000,270.0,173
205559000_S2C_MSIL1C_20251203T143751_N0511_R096_T18HXE_20251203T161909.SAFE_2.png,205559000,205.0,190
205559000_S2B_MSIL1C_20260310T135629_N0512_R124_T20FNH_20260310T183837.SAFE_0.png,205559000,278.0,30
205559000_S2C_MSIL1C_20251223T130251_N0511_R095_T23KNQ_20251223T133143.SAFE_267.png,205559000,269.0,255
205725000_S2B_MSIL1C_20260204T065959_N0512_R063_T39RXH_20260204T104742.SAFE_59.png,205725000,188.0,214
205725000_S2C_MSIL1C_20260219T065931_N0512_R063_T39RXH_20260219T103924.SAFE_43.png,205725000,181.0,201
205725000_S2C_MSIL1C_20260223T063851_N0512_R120_T40REN_20260223T100202.SAFE_38.png,205725000,183.0,114
205725000_S2B_MSIL1C_20260208T063929_N0512_R120_T40REN_20260208T101354.SAFE_18.png,205725000,173.0,117
205725000_S2B_MSIL1C_20260213T054839_N0512_R048_T42QWL_20260213T074014.SAFE_132.png,205725000,183.0,-75
205725000_S2A_MSIL1C_20251226T071341_N0511_R106_T39RWJ_20251226T080741.SAFE_143.png,205725000,185.0,56
205755000_S2B_MSIL1C_20260213T155249_N0512_R054_T18SVG_20260213T192220.SAFE_42.png,205755000,175.0,2
205755000_S2C_MSIL1C_20260116T154611_N0511_R011_T18SVF_20260116T173832.SAFE_22.png,205755000,225.0,-85
205755000_S2C_MSIL1C_20260208T155421_N0512_R054_T18SVG_20260208T174805.SAFE_12.png,205755000,208.0,4
205755000_S2C_MSIL1C_20260129T155511_N0511_R054_T18SVF_20260129T174824.SAFE_24.png,205755000,220.0,-1
205790000_S2B_MSIL1C_20260120T144729_N0511_R139_T19KCR_20260120T180309.SAFE_19.png,205790000,206.0,-76
205790000_S2A_MSIL1C_20251218T144751_N0511_R139_T19KCR_20251218T180127.SAFE_6.png,205790000,197.0,268
205790000_S2B_MSIL1C_20251231T144729_N0511_R139_T19KBR_20251231T194248.SAFE_0.png,205790000,199.0,170
205790000_S2C_MSIL1C_20260217T132231_N0512_R038_T22JGP_20260217T145613.SAFE_17.png,205790000,189.0,42
205790000_S2C_MSIL1C_20260125T144731_N0511_R139_T19KCQ_20260125T162732.SAFE_1.png,205790000,155.0,-12
205790000_S2A_MSIL1C_20260107T144751_N0511_R139_T19KCS_20260107T194517.SAFE_2.png,205790000,203.0,172
209017000_S2B_MSIL1C_20260216T143739_N0512_R096_T21PTM_20260216T175314.SAFE_0.png,209017000,196.0,-61
209017000_S2B_MSIL1C_20260226T160129_N0512_R097_T16QFJ_20260226T193932.SAFE_0.png,209017000,187.0,152
209017000_S2C_MSIL1C_20260129T125301_N0511_R052_T24KVC_20260129T141919.SAFE_4.png,209017000,189.0,209
209017000_S2B_MSIL1C_20260210T124249_N0512_R009_T25LBK_20260210T173353.SAFE_2.png,209017000,186.0,19
209034000_S2C_MSIL1C_20251205T032131_N0511_R118_T48NUG_20251205T060428.SAFE_891.png,209034000,183.0,136
209034000_S2B_MSIL1C_20260202T132229_N0511_R038_T22JGS_20260202T163311.SAFE_26.png,209034000,236.0,-18
209111000_S2B_MSIL1C_20260204T021209_N0512_R060_T50KPD_20260204T052944.SAFE_9.png,209111000,302.0,-70
209111000_S2C_MSIL1C_20260221T023731_N0512_R089_T50QQL_20260221T042713.SAFE_106.png,209111000,301.0,249
209111000_S2B_MSIL1C_20260124T022909_N0511_R046_T50PRA_20260124T041648.SAFE_8.png,209111000,299.0,164
209111000_S2A_MSIL1C_20260108T022141_N0511_R003_T51RWP_20260108T061624.SAFE_5.png,209111000,306.0,17
209111000_S2C_MSIL1C_20260115T025051_N0511_R132_T50SPJ_20260115T040543.SAFE_202.png,209111000,302.0,-35
209115000_S2C_MSIL1C_20251215T115231_N0511_R123_T28RDS_20251215T121534.SAFE_3.png,209115000,159.0,110
209115000_S2C_MSIL1C_20251209T112501_N0511_R037_T29SLT_20251209T114849.SAFE_2.png,209115000,193.0,48
209139000_S2B_MSIL1C_20260311T093029_N0512_R136_T32NNF_20260311T131834.SAFE_30.png,209139000,199.0,-60
209139000_S2C_MSIL1C_20260218T105111_N0512_R051_T29NNE_20260218T142850.SAFE_0.png,209139000,152.0,111
209139000_S2B_MSIL1C_20260227T103019_N0512_R108_T30NUL_20260227T154455.SAFE_42.png,209139000,154.0,222
209139000_S2C_MSIL1C_20260204T111251_N0512_R137_T30UXV_20260204T130921.SAFE_31.png,209139000,151.0,222
209228000_S2C_MSIL1C_20260203T164511_N0511_R126_T15PTT_20260203T184148.SAFE_13.png,209228000,228.0,-51
209228000_S2B_MSIL1C_20260119T164519_N0511_R126_T15PTT_20260119T201956.SAFE_9.png,209228000,218.0,-42
209228000_S2B_MSIL1C_20260307T163039_N0512_R083_T16RBN_20260307T213503.SAFE_1.png,209228000,228.0,-77
209228000_S2B_MSIL1C_20260208T164339_N0512_R126_T15PTT_20260208T215056.SAFE_11.png,209228000,225.0,-36
209690000_S2A_MSIL1C_20251211T030151_N0511_R032_T49QEA_20251211T053130.SAFE_4.png,209690000,235.0,16
